"id","correct_name"
"2017/26/D/ST4/00918","""Bionanopark"" sp. z o.o."
"2012/05/N/ST10/03616","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/N/ST7/01256","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/B/HS4/00165","Akademia Finansów i Biznesu Vistula"
"2011/03/B/HS5/03473","Akademia Finansów i Biznesu Vistula"
"2012/07/B/HS4/03272","Akademia Finansów i Biznesu Vistula"
"2012/07/D/HS4/01752","Akademia Finansów i Biznesu Vistula"
"2013/09/B/HS4/01961","Akademia Finansów i Biznesu Vistula"
"2014/15/B/HS4/04263","Akademia Finansów i Biznesu Vistula"
"2016/21/B/HS4/03055","Akademia Finansów i Biznesu Vistula"
"2016/21/B/HS4/03058","Akademia Finansów i Biznesu Vistula"
"2018/29/B/HS4/00594","Akademia Finansów i Biznesu Vistula"
"2011/01/B/ST7/05155","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/B/ST1/01772","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST8/01783","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST3/00128","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST5/00874","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/14/E/ST3/00026","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/D/ST4/02770","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/D/ST3/00968","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/D/ST5/01332","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/D/ST8/01282","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/18/A/ST4/00058","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST3/00469","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/D/ST3/00966","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/D/ST3/00979","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/D/ST5/01636","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/N/ST8/01219","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/N/ST8/01252","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST3/00394","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST8/00013","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/N/ST8/02601","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/D/ST8/00508","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/27/N/ST5/01635","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/31/N/ST5/03112","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/D/ST8/02630","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/N/ST5/00533","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/08/M/ST8/00332","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
