"id","title","institution","grant_type","coinvestigators","subpanel","budget","duration"
"2011/01/B/HS1/00522","Czy istnieje coś, co zwiemy moralnym charakterem? Dyskusja z sytuacjonistyczną krytyką etyki cnót","UNIWERSYTET GDAŃSKI, Wydział Nauk Społecznych, Instytut Filozofii, Socjologii i Dziennikarstwa","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 37 560 PLN","Czas trwania projektu: 30 miesięcy"
"2011/03/B/HS3/00769","Samuel Pufendorf, De rebus a Carolo Gustavo Sveciae Rege gestis commentariorum libri septem, Norimbergae 1696 - tłumaczenie na język polski, opracowanie aparatu naukowego i przygotowanie tłumaczenia do publkikacji","UNIWERSYTET JAGIELLOŃSKI","Konkurs: OPUS 2  - ogłoszony 2011-09-15","Liczba wykonawców projektu: 1","HS3   - Wiedza o przeszłości: historia, archeologia, etnologia, antropologia kulturowa, m.in.:","Przyznana kwota: 23 400 PLN","Czas trwania projektu: 10 miesięcy"
"2011/01/B/HS1/00559","Odnowa czy herezja? Stosunek fenomenologii współczesnej do klasycznej filozofii Edmunda Husserla","Uniwersytet Gdański, Wydział Nauk Społecznych","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 39 000 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/NZ7/04370","Ocena ochronnego poziomu przeciwciał dla toksyny błoniczej u osób z wybranych grup populacji polskiej","Narodowy Instytut Zdrowia Publicznego - Państwowy Zakład Higieny (NIZP - PZH)","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 5","NZ7   - Zdrowie publiczne: epidemiologia, choroby cywilizacyjne i społeczne zagrożenia środowiskowe dla zdrowia ludzi i zwierząt, medyczna i weterynaryjna ochrona zdrowia publicznego, etyka, medycyna pracy, farmakoekonomika, m.in.:","Przyznana kwota: 94 900 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/00771","Status ziemi Izraela w Księdze Ezechiela i jego recepcja w okresie Drugiej Świątyni","Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Teologii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 58 908 PLN","Czas trwania projektu: 30 miesięcy"
"2011/01/B/HS2/01335","Prace Herkulesa - człowiek wobec wyzwań, prób i przeciwności","UNIWERSYTET JAGIELLOŃSKI - Wydział Polonistyki","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 8","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 97 500 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/00944","Relacje tolerancji w kratach i ich wykorzystanie","Akademia im. Jana Długosza w Częstochowie, Wydział Matematyczno-Przyrodniczy","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 3","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 69 850 PLN","Czas trwania projektu: 24 miesięcy"
"2011/01/B/ST10/04440","Badania mineralogiczne składu artefaktów z epoki brązu - pozorne czy rzeczywiste źródło informacji archeologicznej?","Uniwersytet Wrocławski, Wydział Nauk o Ziemi i Kształtowania Środowiska","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","ST10   - Nauki o Ziemi: geografia fizyczna, geologia, geofizyka, meteorologia, oceanologia, klimatologia, ekologia, globalne zmiany środowiska, cykle biogeochemiczne, zarządzanie zasobami naturalnymi, m.in.:","Przyznana kwota: 275 700 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS1/00954","Jezus i chrześcijanie w źródłach rabinicznych : perspektywa religijna, historyczna, społeczna i dialogowa","UNIWERSYTET JAGIELLOŃSKI, Wydział Filozoficzny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 16","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 59 800 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/ST8/04926","Zaawansowany model matematyczny ogniwa paliwowego MCFC do badań strukturalnych i optymalizacyjnych układów energetycznych","Politechnika Warszawska, Wydział Mechaniczny Energetyki i Lotnictwa","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","ST8   - Inżynieria procesów i produkcji: projektowanie wyrobów, projektowanie i sterowanie procesami produkcji, konstrukcje i procesy budowlane, inżynieria materiałowa, systemy energetyczne, m.in.:","Przyznana kwota: 173 100 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS1/00996","Idea Europy i myśl filozoficzno-polityczna we współczesnej Hiszpanii","Instytut Filozofii i Socjologii PAN","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 58 750 PLN","Czas trwania projektu: 24 miesięcy"
"2011/03/B/HS4/05681","Regionalne determinanty płac w Polsce","UNIWERSYTET WARSZAWSKI, Wydział Nauk Ekonomicznych","Konkurs: OPUS 2  - ogłoszony 2011-09-15","Liczba wykonawców projektu: 2","HS4   - Jednostka, instytucje, rynki: ekonomia, finanse, zarządzanie, demografia, m.in.:","Przyznana kwota: 168 560 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS1/01018","Hedone jako kryterium etyczne w filozofii Platona i Arystotelesa","Uniwersytet Wrocławski, Wydział Nauk Społecznych","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 28 442 PLN","Czas trwania projektu: 24 miesięcy"
"2011/01/B/HS5/00524","Obraz prezydencji Polski w Unii Europejskiej (2011) w wybranych tytułach prasy polskiej","UNIWERSYTET ŚLĄSKI, Wydział Nauk Społecznych","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","HS5   - Normy i władza: prawo, nauki o polityce, polityka regionalna i społeczna, m.in.:","Przyznana kwota: 83 125 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/01536","""Religia a globalizacja""","Instytut Kultur Śródziemnomorskich i Orientalnych PAN","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 58 075 PLN","Czas trwania projektu: 30 miesięcy"
"2011/01/B/HS2/01144","Generatywna analiza wokalizmu w systemie deklinacyjnym gwary kurpiowskiej","Uniwersytet Warszawski, Wydział Neofilologii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 20 000 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS1/01728","Krajobraz kulturowy","Uniwersytet im. Adama Mickiewicza, Instytut Kultury Europejskiej","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 10","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 196 050 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/NZ9/00218","Biodostępność i bioprzyswajalność związków polifenolowych w symulowanym układzie pokarmowym człowieka","Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie, Wydział Technologii Żywności","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","NZ9   - Stosowane nauki o życiu: rolnictwo, leśnictwo, ogrodnictwo, rybactwo, żywienie i żywność, biotechnologia środowiskowa, m.in.:","Przyznana kwota: 123 682 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/01791","Zebranie, naukowe opracowanie i wydanie w językach oryginalnych wraz z tłumaczeniem polskim późnoantycznych tekstów synodalnych, prawnych i historycznych Kościoła (3 tomy)","Akademia Ignatianum w Krakowie, Wydział Filozoficzny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 12","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 307 000 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/ST10/06985","Pochodzenie i obieg materii organicznej w arktycznym fiordzie","Instytut Oceanologii PAN","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","ST10   - Nauki o Ziemi: geografia fizyczna, geologia, geofizyka, meteorologia, oceanologia, klimatologia, ekologia, globalne zmiany środowiska, cykle biogeochemiczne, zarządzanie zasobami naturalnymi, m.in.:","Przyznana kwota: 150 800 PLN","Czas trwania projektu: 20 miesięcy"
"2011/01/B/HS1/01927","Artefakty i podobieństwo rodzinne","Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Filozofii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 14 760 PLN","Czas trwania projektu: 14 miesięcy"
"2011/01/B/NZ6/00277","Rola peptydaz aspartylowych Candida spp. w generowaniu hemocydyn","Uniwersytet Jagielloński, Wydział Biochemii, Biofizyki i Biotechnologii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 3","NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:","Przyznana kwota: 159 410 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/03910","Czy prawda jest pojęciem niewinnym? Filozoficzno-logiczna analiza deflacjonizmu","Uniwersytet Warszawski, Wydział Filozofii i Socjologii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 99 700 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/HS4/02328","Metody pomiaru stopy zwrotu z inwestycji na edukację w szkołach wyższych","Uniwersytet Ekonomiczny we Wrocławiu, Wydział Zarządzania, Informatyki i Finansów","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","HS4   - Jednostka, instytucje, rynki: ekonomia, finanse, zarządzanie, demografia, m.in.:","Przyznana kwota: 89 850 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/04004","Debaty wokół budowy meczetu w Warszawie i innych miastach europejskich. Stan prawny, podmioty budujące, przyczyny protestów i ich przebieg - porównanie.","Uniwersytet Warszawski, Wydział Orientalistyczny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 28 956 PLN","Czas trwania projektu: 6 miesięcy"
"2011/01/B/HS5/04619","Implementacja reform wprowadzonych na mocy Traktatu z Lizbony w odniesieniu do roli parlamentów narodowych w sprawach UE","Akademia Leona Koźmińskiego","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS5   - Normy i władza: prawo, nauki o polityce, polityka regionalna i społeczna, m.in.:","Przyznana kwota: 52 500 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS1/04014","Historia klasycznej filozofii indyjskiej: szkoły niebramińskie","Uniwersytet Warszawski, Wydział Orientalistyczny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 183 908 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/HS4/00970","Uwarunkowania zabezpieczania starości w polskich gospodarstwa domowych","Szkoła Główna Handlowa, Kolegium Analiz Ekonomicznych","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","HS4   - Jednostka, instytucje, rynki: ekonomia, finanse, zarządzanie, demografia, m.in.:","Przyznana kwota: 140 000 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS1/04023","Empiryczne źródła wiedzy matematycznej","Uniwersytet Warszawski, Wydział Filozofii i Socjologii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 76 800 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/ST5/03870","Ag@SiO2 - nowy materiał do konstrukcji optycznych sensorów chemicznych","Uniwersytet Warszawski, Wydział Chemii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","ST5   - Synteza i materiały: otrzymywanie materiałów, związki struktury z właściwościami, nowoczesne materiały o założonych właściwościach, architektura (makro)molekularna, chemia organiczna, chemia nieorganiczna, m.in.:","Przyznana kwota: 112 000 PLN","Czas trwania projektu: 20 miesięcy"
"2011/01/B/HS1/04029","Kognitywne mechanizmy referencji liczebnikowej","Uniwersytet Szczeciński, Wydział Humanistyczny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 72 540 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/HS4/01056","Poziom zrównoważenia rolnictwa w regionach UE; Próba kwantyfikacji","Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","HS4   - Jednostka, instytucje, rynki: ekonomia, finanse, zarządzanie, demografia, m.in.:","Przyznana kwota: 70 000 PLN","Czas trwania projektu: 18 miesięcy"
